car_id,price,car_age,engine_volume,cylinders,car_run_km,safety_feature_count,comfort_feature_count,manufacturer,model,fuel_type,gear_type,drive_type,color,category,abs,esd,el_windows,conditioner,leather,hydraulics,chair_warming,climat_control,customs_passed,tech_inspection,has_turbo,right_wheel,start_stop,back_camera,is_dealer,is_spec
73832953,3300.0,20,1600.0,2,303000.0,2,10,BMW,116,Petrol,Manual,Front,Silver,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74844761,10500.0,17,3000.0,6,154000.0,2,21,BMW,335,Petrol,Tiptronic,Rear,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
74830409,3000.0,22,4500.0,8,101000.0,3,23,Infiniti,FX 45,Petrol,Automatic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74943337,3500.0,18,2400.0,4,150000.0,2,11,Toyota,Camry,Petrol,Tiptronic,Front,White,Sedan,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
74522905,3600.0,28,2800.0,4,3000.0,1,8,Mitsubishi,Pajero,Diesel,Manual,4x4,Black,Jeep,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
74027001,4400.0,11,1500.0,4,122000.0,3,13,Toyota,Aqua,Hybrid,Variator,Front,Black,Hatchback,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0
74183493,6300.0,12,2000.0,4,110000.0,2,19,Ford,Fusion,Petrol,Automatic,Front,Grey,Sedan,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
73314341,8200.0,14,3000.0,6,225000.0,3,36,BMW,535,Petrol,Tiptronic,4x4,Silver,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74944177,3100.0,15,1800.0,4,206708.0,3,21,Toyota,Prius,Hybrid,Variator,Front,Red,Hatchback,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74765165,6500.0,11,1800.0,4,225000.0,0,1,Toyota,Prius,Petrol,Automatic,Front,Black,Sedan,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
74453001,3800.0,23,5000.0,8,145000.0,2,14,Mercedes-Benz,ML 500,CNG,Tiptronic,4x4,Carnelian red,Jeep,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
72814029,24000.0,9,3000.0,6,147000.0,3,22,BMW,340,Petrol,Automatic,Rear,Grey,Sedan,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0
73721385,14500.0,14,3000.0,6,132200.0,3,20,Infiniti,FX 35,Diesel,Tiptronic,4x4,Black,Jeep,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0
74794365,11000.0,11,4600.0,8,104000.0,3,24,Mercedes-Benz,GL 450,Petrol,Automatic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74945693,9500.0,17,3000.0,6,300000.0,2,19,BMW,X5,Diesel,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
74264481,2100.0,22,2000.0,4,189433.0,2,14,BMW,318,Petrol,Tiptronic,Rear,Silver,Coupe,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
74255673,7500.0,11,2000.0,4,157000.0,3,23,Ford,Fusion,Hybrid,Tiptronic,Front,Blue,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
73796625,25000.0,8,4000.0,6,88000.0,3,21,Toyota,4 Runner,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74490065,8000.0,10,2000.0,4,12000.0,2,19,Subaru,XV,Petrol,Tiptronic,4x4,White,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74832985,1600.0,24,1800.0,4,190000.0,2,16,Renault,Laguna,Petrol,Manual,Front,Silver,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74854729,8000.0,14,2000.0,4,135000.0,2,20,Hyundai,IX 35,Petrol,Tiptronic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74841269,9700.0,11,3500.0,6,99000.0,3,22,Nissan,Pathfinder,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74952701,2200.0,22,1600.0,4,173000.0,2,11,Mercedes-Benz,A 160,Petrol,Automatic,Front,Grey,Hatchback,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
74605573,6700.0,10,1800.0,4,169600.0,3,22,Volkswagen,Jetta,Petrol,Tiptronic,Front,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74662433,17800.0,12,4700.0,8,130000.0,3,23,Mercedes-Benz,CLS 550,Petrol,Tiptronic,Rear,Black,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74510513,7500.0,15,3000.0,6,62000.0,2,20,BMW,530,Petrol,Tiptronic,Rear,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74860813,7200.0,12,1800.0,4,110900.0,2,17,Hyundai,Elantra,Petrol,Automatic,Front,Black,Sedan,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
74665461,13000.0,13,3000.0,6,172000.0,3,24,Audi,A7,Petrol,Automatic,4x4,Blue,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
74679545,8500.0,9,2000.0,4,95600.0,3,17,Mazda,Mazda 3,Petrol,Tiptronic,Front,Black,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
73024769,2600.0,22,2200.0,4,283000.0,2,13,Opel,Zafira,Diesel,Manual,Front,Silver,Minivan,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
74962841,6200.0,13,1500.0,4,128000.0,2,15,Toyota,Prius C,Hybrid,Variator,Front,White,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
74500593,2600.0,27,2500.0,6,360000.0,2,13,BMW,523,CNG,Tiptronic,Rear,Blue,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
74519477,6200.0,12,1800.0,4,0.0,2,14,Hyundai,Elantra,Petrol,Automatic,Front,Black,Sedan,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
74692193,3500.0,14,1800.0,4,278000.0,2,18,Toyota,Prius,Hybrid,Tiptronic,Front,Black,Sedan,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
74952085,6300.0,15,1800.0,4,0.0,3,21,Toyota,Prius,Petrol,Automatic,Front,Beige,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74962661,28700.0,10,3000.0,6,88800.0,3,24,BMW,X5,Petrol,Tiptronic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
